diameter_inch,diameter_mm
0.0039,0.10mm
0.0051,0.13mm
0.0059,0.15mm
0.0063,#96
0.0067,#95
0.0071,#94
0.0075,#93
0.0079,0.20mm
0.0083,#91
0.0087,#90
0.0091,#89
0.0095,#88
0.0098,0.25mm
0.01,#87
0.0105,#86
0.011,#85
0.0115,#84
0.0118,0.30mm
0.012,#83
0.0125,#82
0.013,#81
0.0135,#80
0.0138,0.35mm
0.0145,#79
0.0156,"1/64"""
0.0157,0.40mm
0.016,#78
0.0177,0.45mm
0.018,#77
0.0197,0.50mm
0.02,#76
0.021,#75
0.0217,0.55mm
0.0225,#74
0.0236,0.60mm
0.024,#73
0.025,#72
0.0256,0.65mm
0.026,#71
0.0276,0.70mm
0.028,#70
0.0292,#69
0.0295,0.75mm
0.031,#68
0.0312,"1/32"""
0.0315,0.80mm
0.032,#67
0.033,#66
0.0335,0.85mm
0.035,#65
0.0354,0.90mm
0.036,#64
0.037,#63
0.0374,0.95mm
0.038,#62
0.039,#61
0.0394,1.00mm
0.04,#60
0.041,#59
0.0413,1.05mm
0.042,#58
0.043,#57
0.0433,1.10mm
0.0441,1.12mm
0.0453,1.15mm
0.0465,#56
0.0469,"3/64"""
0.0472,1.20mm
0.0492,1.25mm
0.0512,1.30mm
0.052,#55
0.0531,1.35mm
0.055,#54
0.0551,1.40mm
0.0571,1.45mm
0.0591,1.50mm
0.0595,#53
0.061,1.55mm
0.0625,"1/16"""
0.063,1.60mm
0.0635,#52
0.065,1.65mm
0.0669,1.70mm
0.067,#51
0.0689,1.75mm
0.07,#50
0.0709,1.80mm
0.0728,1.85mm
0.073,#49
0.0748,1.90mm
0.076,#48
0.0768,1.95mm
0.0781,"5/64"""
0.0785,#47
0.0787,2.00mm
0.0807,2.05mm
0.081,#46
0.082,#45
0.0827,2.10mm
0.0846,2.15mm
0.086,#44
0.0866,2.20mm
0.0886,2.25mm
0.089,#43
0.0906,2.30mm
0.0925,2.35mm
0.0935,#42
0.0938,"3/32"""
0.0945,2.40mm
0.096,#41
0.0965,2.45mm
0.098,#40
0.0984,2.50mm
0.0995,#39
0.1004,2.55mm
0.1015,#38
0.1024,2.60mm
0.104,#37
0.1043,2.65mm
0.1063,2.70mm
0.1065,#36
0.1083,2.75mm
0.1094,"7/64"""
0.11,#35
0.1102,2.80mm
0.111,#34
0.1122,2.85mm
0.113,#33
0.1142,2.90mm
0.116,#32
0.1161,2.95mm
0.1181,3.00mm
0.12,#31
0.1201,3.05mm
0.122,3.10mm
0.124,3.15mm
0.125,"1/8"""
0.126,3.20mm
0.128,3.25mm
0.1285,#30
0.1299,3.30mm
0.1319,3.35mm
0.1339,3.40mm
0.1358,3.45mm
0.136,#29
0.1378,3.50mm
0.1398,3.55mm
0.1405,#28
0.1406,"9/64"""
0.1417,3.60mm
0.1437,3.65mm
0.144,#27
0.1457,3.70mm
0.147,#26
0.1476,3.75mm
0.1495,#25
0.1496,3.80mm
0.1516,3.85mm
0.152,#24
0.1535,3.90mm
0.154,#23
0.1555,3.95mm
0.1562,"5/32"""
0.157,#22
0.1575,4.00mm
0.159,#21
0.1594,4.05mm
0.161,#20
0.1614,4.10mm
0.1634,4.15mm
0.1654,4.20mm
0.166,#19
0.1673,4.25mm
0.1693,4.30mm
0.1695,#18
0.1713,4.35mm
0.1719,"11/64"""
0.173,#17
0.1732,4.40mm
0.1752,4.45mm
0.177,#16
0.1772,4.50mm
0.1791,4.55mm
0.18,#15
0.1811,4.60mm
0.182,#14
0.1831,4.65mm
0.185,#13
0.187,4.75mm
0.1875,"3/16"""
0.189,#12
0.1909,4.85mm
0.191,#11
0.1929,4.90mm
0.1935,#10
0.1949,4.95mm
0.196,#9
0.1969,5.00mm
0.1988,5.05mm
0.199,#8
0.2008,5.10mm
0.201,#7
0.2028,5.15mm
0.2031,"13/64"""
0.204,#6
0.2047,5.20mm
0.2055,#5
0.2067,5.25mm
0.2087,5.30mm
0.209,#4
0.2106,5.35mm
0.2126,5.40mm
0.213,#3
0.2146,5.45mm
0.2165,5.50mm
0.2185,5.55mm
0.2188,"7/32"""
0.2205,5.60mm
0.221,#2
0.2224,5.65mm
0.2244,5.70mm
0.2264,5.75mm
0.228,#1
0.2283,5.80mm
0.2303,5.85mm
0.2323,5.90mm
0.234,A
0.2343,5.95mm
0.2344,"15/64"""
0.2362,6.00mm
0.238,B
0.2382,6.05mm
0.2402,6.10mm
0.242,C
0.2421,6.15mm
0.2441,6.20mm
0.246,D
0.2461,6.25mm
0.248,6.30mm
0.25,6.35mm
